-200.819|+25.8560|-21.0510
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.363|+25.8560|-21.7950
-201.423|+25.8560|-21.8780
-201.423|+25.8560|-21.8780
-201.423|+25.8560|-21.8780
-201.423|+25.8560|-21.8780
-201.423|+25.8560|-21.8780
-201.423|+25.8560|-21.8780
-201.423|+25.8560|-21.8780
-201.423|+25.8560|-21.8780
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.483|+25.8560|-21.9610
-201.543|+25.8560|-22.0440
-201.543|+25.8560|-22.0440
-201.543|+25.8560|-22.0440
-201.603|+25.8560|-22.1270
-201.603|+25.8560|-22.1270
-201.603|+25.8560|-22.1270
-201.663|+25.8560|-22.2100
-201.663|+25.8560|-22.2100
-201.723|+25.8560|-22.2930
-201.723|+25.8560|-22.2930
-201.784|+25.8560|-22.3760
-201.784|+25.8560|-22.3760
-201.844|+25.8560|-22.4590
-201.844|+25.8560|-22.4590
-201.904|+25.8560|-22.5420
-201.904|+25.8560|-22.5420
-201.963|+25.8560|-22.6250
-202.023|+25.8560|-22.7080
-202.083|+25.8560|-22.7910
-202.083|+25.8560|-22.7910
-202.143|+25.8560|-22.8740
-202.143|+25.8560|-22.8740
-202.203|+25.8560|-22.9570
-202.203|+25.8560|-22.9570
-202.263|+25.8560|-23.0400
-202.263|+25.8560|-23.0400
-202.322|+25.8560|-23.1230
-202.322|+25.8560|-23.1230
-202.382|+25.8560|-23.2070
-202.382|+25.8560|-23.2070
-202.442|+25.8560|-23.2900
-202.442|+25.8560|-23.2900
-202.501|+25.8560|-23.3730
-202.501|+25.8560|-23.3730
-202.501|+25.8560|-23.3730
-202.561|+25.8560|-23.4560
-202.561|+25.8560|-23.4560
-202.621|+25.8560|-23.5400
-202.621|+25.8560|-23.5400
-202.621|+25.8560|-23.5400
-202.621|+25.8560|-23.5400
-202.680|+25.8560|-23.6230
-202.680|+25.8560|-23.6230
-202.680|+25.8560|-23.6230
-202.680|+25.8560|-23.6230
-202.680|+25.8560|-23.6230
-202.680|+25.8560|-23.6230
-202.680|+25.8560|-23.6230
-202.680|+25.8560|-23.6230
-202.680|+25.8560|-23.6230
-202.680|+25.8560|-23.6230
-202.680|+25.8560|-23.6230
-202.680|+25.8560|-23.6230
-202.740|+25.8560|-23.7060
-202.740|+25.8560|-23.7060
-202.740|+25.8560|-23.7060
-202.740|+25.8560|-23.7060
-202.740|+25.8560|-23.7060
-202.740|+25.8560|-23.7060
-202.740|+25.8560|-23.7060
-202.740|+25.8560|-23.7060
-202.740|+25.8560|-23.7060
-202.740|+25.8560|-23.7060
-202.740|+25.8560|-23.7060
-202.740|+25.8560|-23.7060
-202.740|+25.8560|-23.7060
-202.740|+25.8560|-23.7060
-202.740|+25.8560|-23.7060
-202.740|+25.8560|-23.7060
-202.740|+25.8560|-23.7060
-202.740|+25.8560|-23.7060
-202.740|+25.8560|-23.7060
-202.740|+25.8560|-23.7060
-202.740|+25.8560|-23.7060
-202.740|+25.8560|-23.7060
